1100899	3	3	163096	163096	489288	54365	54366	163096	18120	18122	54364	6041	6042	18124	2013	2014	6040	670	671	2012	224	224	672
1100909	2	2	137613	137613	275226	68807	68807	137614	34404	34404	68808	17201	17201	34402	8601	8601	17202	4301	4301	8602	2150	2150	4300
1100933	2	2	137616	137616	275232	68809	68809	137618	34404	34404	68808	17202	17202	34404	8601	8601	17202	4300	4300	8600	2151	2151	4302
1100947	3	3	163102	163103	489308	54368	54368	163104	18122	18123	54368	6041	6042	18124	2013	2014	6040	670	671	2012	224	224	672
1100947	7	7	115550	115552	808856	16506	16509	115556	2356	2360	16504	336	338	2358	48	50	342	5	7	40	1	2	12
1101091	2	2	137637	137637	275274	68818	68818	137636	34409	34409	68818	17204	17204	34408	8603	8603	17206	4301	4301	8602	2150	2150	4300
1101091	3	3	163124	163125	489374	54374	54374	163122	18126	18126	54378	6040	6041	18122	2014	2016	6044	670	671	2012	224	224	672
1101103	3	3	163127	163128	489382	54374	54375	163124	18126	18126	54378	6040	6041	18122	2014	2016	6044	670	671	2012	224	224	672
1101103	6	6	127442	127442	764652	21241	21242	127448	3538	3541	21238	589	592	3542	97	98	586	17	17	102	2	3	14
1101109	6	6	127443	127444	764660	21240	21242	127446	3539	3540	21238	589	590	3536	98	99	592	17	18	104	1	3	14
1101127	3	3	163128	163130	489388	54377	54378	163132	18125	18126	54376	6040	6042	18124	2014	2016	6044	670	671	2012	224	224	672
1101143	7	7	115570	115573	809002	16509	16512	115572	2358	2360	16512	336	337	2354	48	49	340	6	7	48	1	2	8
1101211	2	2	137652	137652	275304	68825	68825	137650	34413	34413	68826	17207	17207	34414	8603	8603	17206	4301	4301	8602	2151	2151	4302
1101229	6	6	127456	127458	764740	21242	21244	127460	3540	3541	21242	589	590	3536	98	99	592	17	18	104	1	3	14
1101253	2	2	137656	137656	275312	68829	68829	137658	34414	34414	68828	17207	17207	34414	8603	8603	17206	4302	4302	8604	2151	2151	4302
1101253	6	6	127460	127461	764764	21242	21243	127454	3540	3541	21244	590	592	3544	97	98	586	17	17	102	2	3	14
1101283	7	7	115584	115586	809100	16513	16514	115596	2357	2360	16508	336	338	2358	48	50	342	5	7	40	1	2	12
1101299	2	2	137663	137663	275326	68831	68831	137662	34415	34415	68830	17208	17208	34416	8604	8604	17208	4302	4302	8604	2151	2151	4302
1101307	2	2	137664	137664	275328	68831	68831	137662	34416	34416	68832	17208	17208	34416	8604	8604	17208	4302	4302	8604	2151	2151	4302
1101307	3	3	163156	163157	489470	54384	54385	163154	18129	18130	54388	6042	6042	18126	2015	2016	6046	670	671	2012	224	224	672
1101319	3	3	163159	163160	489478	54384	54386	163156	18129	18130	54388	6042	6042	18126	2015	2016	6046	670	671	2012	224	224	672
1101319	6	6	127467	127467	764802	21245	21246	127474	3540	3541	21242	589	590	3536	98	99	592	17	18	104	1	3	14
1101323	2	2	137666	137666	275332	68832	68832	137664	34417	34417	68834	17208	17208	34416	8604	8604	17208	4302	4302	8604	2151	2151	4302
1101341	2	2	137667	137667	275334	68834	68834	137668	34417	34417	68834	17209	17209	34418	8604	8604	17208	4302	4302	8604	2151	2151	4302
1101349	2	2	137668	137668	275336	68835	68835	137670	34417	34417	68834	17208	17208	34416	8605	8605	17210	4302	4302	8604	2151	2151	4302
1101349	6	6	127470	127470	764820	21246	21247	127480	3540	3541	21242	589	590	3536	98	99	592	17	18	104	1	3	14
1101371	2	2	137672	137672	275344	68835	68835	137670	34418	34418	68836	17209	17209	34418	8605	8605	17210	4302	4302	8604	2151	2151	4302
1101389	2	2	137673	137673	275346	68837	68837	137674	34419	34419	68838	17209	17209	34418	8604	8604	17208	4303	4303	8606	2151	2151	4302
1101403	2	2	137676	137676	275352	68837	68837	137674	34419	34419	68838	17210	17210	34420	8604	8604	17208	4303	4303	8606	2151	2151	4302
1101403	3	3	163170	163170	489510	54391	54392	163174	18128	18130	54388	6043	6044	18130	2015	2016	6046	670	671	2012	224	224	672
1101421	2	2	137677	137677	275354	68839	68839	137678	34420	34420	68840	17209	17209	34418	8605	8605	17210	4303	4303	8606	2151	2151	4302
1101421	6	6	127479	127479	764874	21246	21247	127480	3541	3542	21248	590	590	3540	98	98	588	16	17	98	3	4	22
