1101211	2	2	275302	275303	1101210	137651	137652	1101210	68825	68826	1101210	34412	34413	1101210	17206	17207	1101210	8603	8604	1101210
1101229	6	6	30589	30590	1101228	5098	5099	1101228	849	850	1101228	141	142	1101228	23	24	1101228	3	4	1101228
1101253	2	2	275313	275313	1101252	137656	137657	1101252	68828	68829	1101252	34414	34415	1101252	17207	17208	1101252	8603	8604	1101252
1101253	6	6	30590	30591	1101252	5098	5099	1101252	849	850	1101252	141	142	1101252	23	24	1101252	3	4	1101252
1101283	7	7	22475	22476	1101282	3210	3211	1101282	458	459	1101282	65	66	1101282	9	10	1101282	1	2	1101282
1101299	2	2	275324	275325	1101298	137662	137663	1101298	68831	68832	1101298	34415	34416	1101298	17207	17208	1101298	8603	8604	1101298
1101307	2	2	275326	275327	1101306	137663	137664	1101306	68831	68832	1101306	34415	34416	1101306	17207	17208	1101306	8603	8604	1101306
1101307	3	3	122367	122368	1101306	40789	40790	1101306	13596	13597	1101306	4532	4533	1101306	1510	1511	1101306	503	504	1101306
1101319	3	3	122368	122369	1101318	40789	40790	1101318	13596	13597	1101318	4532	4533	1101318	1510	1511	1101318	503	504	1101318
1101319	6	6	30592	30593	1101318	5098	5099	1101318	849	850	1101318	141	142	1101318	23	24	1101318	3	4	1101318
1101323	2	2	275330	275331	1101322	137665	137666	1101322	68832	68833	1101322	34416	34417	1101322	17208	17209	1101322	8604	8605	1101322
1101341	2	2	275335	275335	1101340	137667	137668	1101340	68833	68834	1101340	34416	34417	1101340	17208	17209	1101340	8604	8605	1101340
1101349	2	2	275337	275337	1101348	137668	137669	1101348	68834	68835	1101348	34417	34418	1101348	17208	17209	1101348	8604	8605	1101348
1101349	6	6	30593	30593	1101348	5098	5099	1101348	849	850	1101348	141	142	1101348	23	24	1101348	3	4	1101348
1101371	2	2	275342	275343	1101370	137671	137672	1101370	68835	68836	1101370	34417	34418	1101370	17208	17209	1101370	8604	8605	1101370
1101389	2	2	275347	275347	1101388	137673	137674	1101388	68836	68837	1101388	34418	34419	1101388	17209	17210	1101388	8604	8605	1101388
1101403	2	2	275350	275351	1101402	137675	137676	1101402	68837	68838	1101402	34418	34419	1101402	17209	17210	1101402	8604	8605	1101402
1101403	3	3	122378	122378	1101402	40792	40793	1101402	13597	13598	1101402	4532	4533	1101402	1510	1511	1101402	503	504	1101402
1101421	2	2	275355	275355	1101420	137677	137678	1101420	68838	68839	1101420	34419	34420	1101420	17209	17210	1101420	8604	8605	1101420
1101421	6	6	30595	30595	1101420	5099	5100	1101420	849	850	1101420	141	142	1101420	23	24	1101420	3	4	1101420
1101439	3	3	122382	122382	1101438	40794	40794	1101438	13598	13598	1101438	4532	4533	1101438	1510	1511	1101438	503	504	1101438
1101467	2	2	275366	275367	1101466	137683	137684	1101466	68841	68842	1101466	34420	34421	1101466	17210	17211	1101466	8605	8606	1101466
1101509	2	2	275377	275377	1101508	137688	137689	1101508	68844	68845	1101508	34422	34423	1101508	17211	17212	1101508	8605	8606	1101508
1101511	6	6	30597	30598	1101510	5099	5100	1101510	849	850	1101510	141	142	1101510	23	24	1101510	3	4	1101510
1101517	6	6	30597	30598	1101516	5099	5100	1101516	849	850	1101516	141	142	1101516	23	24	1101516	3	4	1101516
1101533	2	2	275383	275383	1101532	137691	137692	1101532	68845	68846	1101532	34422	34423	1101532	17211	17212	1101532	8605	8606	1101532
1101559	3	3	122395	122396	1101558	40798	40799	1101558	13599	13600	1101558	4533	4534	1101558	1511	1512	1101558	503	504	1101558
1101559	6	6	30598	30599	1101558	5099	5100	1101558	849	850	1101558	141	142	1101558	23	24	1101558	3	4	1101558
1101571	3	3	122396	122397	1101570	40798	40799	1101570	13599	13600	1101570	4533	4534	1101570	1511	1512	1101570	503	504	1101570
1101587	2	2	275396	275397	1101586	137698	137699	1101586	68849	68850	1101586	34424	34425	1101586	17212	17213	1101586	8606	8607	1101586
1101613	6	6	30600	30601	1101612	5100	5101	1101612	850	851	1101612	141	142	1101612	23	24	1101612	3	4	1101612
